Catcode	Catname	Catorder	Industry	Sector	Sector Long
LH100	Health worker unions	P05	Misc Unions	Labor	Labor
LM100	Manufacturing unions	P02	Industrial Unions	Labor	Labor
LT000	Transportation unions	P03	Transportation Unions	Labor	Labor
LT100	Air transport unions	P03	Transportation Unions	Labor	Labor
LM150	Automotive unions	P02	Industrial Unions	Labor	Labor
LT300	Teamsters union	P03	Transportation Unions	Labor	Labor
LT400	Railroad unions	P03	Transportation Unions	Labor	Labor
LT500	Merchant marine & longshoremen unions	P03	Transportation Unions	Labor	Labor
LT600	Other transportation unions	P03	Transportation Unions	Labor	Labor
M0000	Manufacturing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M1000	Chemicals	N13	Chemical & Related Manufacturing	Misc Business	Misc Business
M1100	Explosives	N13	Chemical & Related Manufacturing	Misc Business	Misc Business
M1300	Household cleansers & chemicals	N13	Chemical & Related Manufacturing	Misc Business	Misc Business
M1400	Manmade fibers	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M1500	Plastics & Rubber processing & products	N13	Chemical & Related Manufacturing	Misc Business	Misc Business
M1600	Paints, Solvents & Coatings 	N13	Chemical & Related Manufacturing	Misc Business	Misc Business
M1700	Adhesives & Sealants	N13	Chemical & Related Manufacturing	Misc Business	Misc Business
M2000	Heavy industrial manufacturing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M2100	Steel	N14	Steel Production	Misc Business	Misc Business
M2200	Smelting & non-petroleum refining	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M2400	Recycling of metal, paper, plastics, etc. 	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M3000	Personal products manufacturing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M3100	Clothing & accessories	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M3200	Shoes & leather products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M3300	Toiletries & cosmetics	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M2300	Industrial/commercial equipment & materials	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M3400	Jewelry	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M3500	Toys	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M3600	Sporting goods sales & manufacturing	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M4000	Household & office products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M4100	Furniture & wood products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M4200	Office machines	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M4300	Household appliances	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M5000	Fabricated metal products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M5100	Hardware & tools	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M5200	Electroplating, polishing & related services 	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M5300	Small arms & ammunition	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M6000	Electrical lighting products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M7000	Paper, glass & packaging materials 	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M7100	Paper packaging materials	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M7200	Glass products	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M7300	Metal cans & containers	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M8000	Textiles & fabrics	N16	Textiles	Misc Business	Misc Business
M9000	Precision instruments	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M9100	Optical instruments & lenses	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M9200	Photographic equipment & supplies	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
M9300	Clocks & watches	N15	Misc Manufacturing & Distributing	Misc Business	Misc Business
T0000	Transportation	M06	Misc Transport	Transportation	Transportation
T1000	Air transport	M01	Air Transport	Transportation	Transportation
T1100	Airlines	M01	Air Transport	Transportation	Transportation
T1200	Aircraft manufacturers	M01	Air Transport	Transportation	Transportation
T1300	Aircraft parts & equipment	M01	Air Transport	Transportation	Transportation
T1400	General aviation (private pilots)	M01	Air Transport	Transportation	Transportation
T1500	Air freight	M01	Air Transport	Transportation	Transportation
T1600	Aviation services & airports	M01	Air Transport	Transportation	Transportation
T1700	Space vehicles & components	M01	Air Transport	Transportation	Transportation
T2000	Automotive, Misc 	M02	Automotive	Transportation	Transportation
T2100	Auto manufacturers	M02	Automotive	Transportation	Transportation
T2200	Truck/Automotive parts & accessories	M02	Automotive	Transportation	Transportation
T2300	Auto dealers, new & used 	M02	Automotive	Transportation	Transportation
T2310	Auto dealers, foreign imports 	M02	Automotive	Transportation	Transportation
T2400	Auto repair	M02	Automotive	Transportation	Transportation
T2500	Car rental agencies	M02	Automotive	Transportation	Transportation
T3000	Trucking	M03	Trucking	Transportation	Transportation
T3100	Trucking companies & services	M03	Trucking	Transportation	Transportation
T3200	Truck & trailer manufacturers	M03	Trucking	Transportation	Transportation
T4000	Buses & Taxis	M06	Misc Transport	Transportation	Transportation
T4100	Bus services	M06	Misc Transport	Transportation	Transportation
T4200	Taxicabs	M06	Misc Transport	Transportation	Transportation
T5000	Railroad transportation	M04	Railroads	Transportation	Transportation
T5100	Railroads	M04	Railroads	Transportation	Transportation
T5200	Manufacturers of railroad equipment	M04	Railroads	Transportation	Transportation
T5300	Railroad services	M04	Railroads	Transportation	Transportation
T6000	Sea transport	M05	Sea Transport	Transportation	Transportation
T6100	Ship building & repair	M05	Sea Transport	Transportation	Transportation
T7000	Freight & delivery services	M06	Misc Transport	Transportation	Transportation
T7100	Express delivery services	M01	Air Transport	Transportation	Transportation
T7200	Warehousing	N12	Misc Business	Misc Business	Misc Business
T8000	Recreational transport	M06	Misc Transport	Transportation	Transportation
T6200	Sea freight & passenger services	M05	Sea Transport	Transportation	Transportation
T8100	Motorcycles, snowmobiles & other motorized vehicle 	M06	Misc Transport	Transportation	Transportation
X5000	Military	W07	Other	Other	Other
Y0000	Unknown	Y00	Unknown	Unknown	Unknown
Y2000	No employer listed or discovered	Y02	No Employer Listed or Found	Unknown	Unknown
Z5100	Republican Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes
Z5200	Democratic Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes
Z5300	Third-Party Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes
Y1000	Homemakers, students & other non-income earners 	Y01	Homemakers/Non-income earners	Unknown	Unknown
Y3000	Generic occupation - impossible to assign category	Y03	Generic Occupation/Category Unknown	Unknown	Unknown
Y4000	Employer listed but category unknown	Y04	Employer Listed/Category Unknown	Unknown	Unknown
Z1100	Republican Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
Z1200	Democratic Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
T8200	Motor homes & camper trailers	M06	Misc Transport	Transportation	Transportation
T8300	Pleasure boats	M06	Misc Transport	Transportation	Transportation
